league_id,name,team_id,team_long_name
1,"Belgium Jupiler League",9987,"KRC Genk"
1,"Belgium Jupiler League",9993,"Beerschot AC"
1,"Belgium Jupiler League",10000,"SV Zulte-Waregem"
1,"Belgium Jupiler League",9994,"Sporting Lokeren"
1,"Belgium Jupiler League",9984,"KSV Cercle Brugge"
1,"Belgium Jupiler League",8635,"RSC Anderlecht"
1,"Belgium Jupiler League",9991,"KAA Gent"
1,"Belgium Jupiler League",9998,"RAEC Mons"
1,"Belgium Jupiler League",7947,"FCV Dender EH"
1,"Belgium Jupiler League",9985,"Standard de Liège"
1,"Belgium Jupiler League",8203,"KV Mechelen"
1,"Belgium Jupiler League",8342,"Club Brugge KV"
1,"Belgium Jupiler League",9999,"KSV Roeselare"
1,"Belgium Jupiler League",8571,"KV Kortrijk"
1,"Belgium Jupiler League",4049,Tubize
1,"Belgium Jupiler League",9996,"Royal Excel Mouscron"
1,"Belgium Jupiler League",10001,"KVC Westerlo"
1,"Belgium Jupiler League",9986,"Sporting Charleroi"
1,"Belgium Jupiler League",9997,"Sint-Truidense VV"
1,"Belgium Jupiler League",9989,"Lierse SK"
1,"Belgium Jupiler League",6351,"KAS Eupen"
1,"Belgium Jupiler League",1773,"Oud-Heverlee Leuven"
1,"Belgium Jupiler League",8475,Waasland-Beveren
1,"Belgium Jupiler League",8573,"KV Oostende"
1,"Belgium Jupiler League",274581,"Royal Excel Mouscron"
1729,"England Premier League",10260,"Manchester United"
1729,"England Premier League",10261,"Newcastle United"
1729,"England Premier League",9825,Arsenal
1729,"England Premier League",8659,"West Bromwich Albion"
1729,"England Premier League",8472,Sunderland
1729,"England Premier League",8650,Liverpool
1729,"England Premier League",8654,"West Ham United"
1729,"England Premier League",8528,"Wigan Athletic"
1729,"England Premier League",10252,"Aston Villa"
1729,"England Premier League",8456,"Manchester City"
1729,"England Premier League",8668,Everton
1729,"England Premier League",8655,"Blackburn Rovers"
1729,"England Premier League",8549,Middlesbrough
1729,"England Premier League",8586,"Tottenham Hotspur"
1729,"England Premier League",8559,"Bolton Wanderers"
1729,"England Premier League",10194,"Stoke City"
1729,"England Premier League",8667,"Hull City"
1729,"England Premier League",9879,Fulham
1729,"England Premier League",8455,Chelsea
1729,"England Premier League",8462,Portsmouth
1729,"England Premier League",8658,"Birmingham City"
1729,"England Premier League",8602,"Wolverhampton Wanderers"
1729,"England Premier League",8191,Burnley
