league_id,team_id,Team Name,player_api_id,player_name,Player Rating,Finishing,Acceleration,Interceptions,Marking,Positioning
15722,1601,Royal Excel Mouscron,196185,Arkadiusz Piech,70,70,90,58,52,81
15722,1601,Royal Excel Mouscron,69008,Artur Sobiech,73,75,72,54,51,77
15722,1601,Royal Excel Mouscron,69346,Maciej Iwanski,72,66,65,62,64,69
15722,1601,Royal Excel Mouscron,13486,Marcin Kikut,70,58,83,57,79,61
15722,1601,Royal Excel Mouscron,30278,Marek Zienczuk,74,76,66,44,61,72
1,1773,Watford,78902,Ebrahima Ibou Sawaneh,72,77,85,48,26,71
1,1773,Watford,164229,Kanu,73,50,84,75,74,28
1,1773,Watford,39578,Karel Geraerts,72,73,72,75,74,83
1,1773,Watford,120110,Kim Ojo,75,75,82,42,38,76
1,1773,Watford,38793,Logan Bailly,76,26,72,47,24,23
15722,1957,Watford,450742,Bartlomiej Dragowski,71,25,46,25,25,25
15722,1957,Watford,38999,Euzebiusz Smolarek,76,77,88,78,45,79
15722,1957,Watford,69541,Kamil Grosicki,76,76,88,48,25,75
15722,1957,Watford,16511,Konstantin Vassiljev,71,70,68,46,58,72
15722,1957,Watford,361714,Maciej Gajos,71,69,83,60,59,66
17642,2033,Watford,96968,Andre Pinto,77,34,71,77,78,69
17642,2033,Watford,25549,Christian Obodo,79,76,76,78,82,81
17642,2033,Watford,124127,Fabiano,77,25,47,25,25,25
17642,2033,Watford,185945,Jardel,80,38,66,82,83,30
17642,2033,Watford,31725,Mario Alberto Santana,79,73,82,75,54,76
17642,2033,Watford,191788,Mexer,78,63,73,79,81,74
15722,2182,Watford,79982,Artjoms Rudnevs,77,85,86,45,40,88
15722,2182,Watford,30266,Artur Wichniarek,78,87,85,64,21,83
15722,2182,Watford,274156,Gergo Lovrencsics,73,72,92,61,54,59
15722,2182,Watford,361403,Karol Linetty,73,65,74,77,63,69
15722,2182,Watford,206694,Lukasz Teodorczyk,73,74,79,33,13,74
15722,2182,Watford,74827,Manuel Arboleda,77,46,82,67,78,68
15722,2182,Watford,121225,Muhamed Keita,73,67,89,46,26,74
15722,2183,Watford,69008,Artur Sobiech,73,75,72,54,51,77
15722,2183,Watford,78413,Dimitrije Injac,71,61,68,75,78,62
15722,2183,Watford,38999,Euzebiusz Smolarek,76,77,88,78,45,79
15722,2183,Watford,206694,Lukasz Teodorczyk,73,74,79,33,13,74
15722,2183,Watford,43313,Mariusz Pawelek,71,25,35,45,25,25
15722,2186,Watford,433675,Bartosz Kapustka,69,63,83,41,55,62
15722,2186,Watford,154433,Boubacar Diabang Dialiba,70,72,93,55,59,73
15722,2186,Watford,36050,Erik Jendrisek,73,76,82,67,30,72
15722,2186,Watford,71063,Giannis Papadopoulos,69,62,77,69,72,65
15722,2186,Watford,92222,Mateusz Cetnarski,69,66,82,59,38,65
15722,2186,Watford,159342,Mateusz Klich,72,65,72,59,43,69
15722,2186,Watford,140932,Milos Kosanovic,72,23,56,76,73,49
1,4049,Watford,37085,Alan Haydock,64,43,67,74,55,75
1,4049,Watford,37972,Gregory Dufer,68,66,70,63,41,66
1,4049,Watford,37976,Jason Vandelannoite,66,49,65,43,65,52
1,4049,Watford,17703,Jeremy Perbet,73,83,70,63,48,86
1,4049,Watford,97368,Jusuf Dajic,64,64,59,69,22,57
17642,4064,Watford,150267,Andre Fontes,70,56,68,56,50,68
17642,4064,Watford,91473,"Bedi Bastien Buval,29",69,70,63,43,31,66
17642,4064,Watford,96839,Cris Santos,69,42,76,68,63,63
17642,4064,Watford,164107,Ludovic,71,61,90,26,25,67
17642,4064,Watford,45359,Miguel Pedro,69,66,83,27,29,69
4769,4087,Watford,32937,Christian Poulsen,83,43,78,80,85,86
4769,4087,Watford,74169,Daniel Wass,77,72,90,77,67,76
4769,4087,Watford,179522,Dany Nounkeu,77,25,80,76,75,71
4769,4087,Watford,30749,David Jarolim,79,62,77,82,76,85
