league_id,season,team_api_id,team_long_name,avg_home_goals_team,avg_home_goals_league,avg_away_goals_team,avg_away_goals_league
1,2008/2009,9987,"KRC Genk",1.35,1.71,1.47,1.39
1,2008/2009,10000,"SV Zulte-Waregem",1.82,1.71,1.41,1.39
1,2008/2009,9984,"KSV Cercle Brugge",1.71,1.71,1.12,1.39
1,2008/2009,9991,"KAA Gent",1.82,1.71,2.12,1.39
1,2008/2009,7947,"FCV Dender EH",1.24,1.71,1.35,1.39
1,2008/2009,8203,"KV Mechelen",1.41,1.71,1.29,1.39
1,2008/2009,9999,"KSV Roeselare",1.24,1.71,0.71,1.39
1,2008/2009,4049,Tubize,1.29,1.71,0.76,1.39
1,2008/2009,10001,"KVC Westerlo",1.35,1.71,1.12,1.39
1,2008/2009,8342,"Club Brugge KV",2.18,1.71,1.29,1.39
1,2008/2009,9985,"Standard de Liège",2.47,1.71,1.41,1.39
1,2008/2009,9994,"Sporting Lokeren",1.29,1.71,1.06,1.39
1,2008/2009,9996,"Royal Excel Mouscron",1.65,1.71,0.82,1.39
1,2008/2009,9993,"Beerschot AC",1.88,1.71,0.71,1.39
1,2008/2009,8635,"RSC Anderlecht",2.82,1.71,1.59,1.39
1,2008/2009,9998,"RAEC Mons",1.12,1.71,0.71,1.39
1,2008/2009,9986,"Sporting Charleroi",1.53,1.71,1.00,1.39
1,2008/2009,8571,"KV Kortrijk",1.18,1.71,1.00,1.39
1,2009/2010,9985,"Standard de Liège",1.43,1.71,1.29,1.27
1,2009/2010,9986,"Sporting Charleroi",1.21,1.71,0.79,1.27
1,2009/2010,9984,"KSV Cercle Brugge",1.71,1.71,1.50,1.27
1,2009/2010,9994,"Sporting Lokeren",1.00,1.71,0.57,1.27
1,2009/2010,8571,"KV Kortrijk",1.50,1.71,1.29,1.27
1,2009/2010,8203,"KV Mechelen",1.50,1.71,1.07,1.27
1,2009/2010,9999,"KSV Roeselare",1.07,1.71,1.00,1.27
1,2009/2010,8342,"Club Brugge KV",1.71,1.71,2.00,1.27
1,2009/2010,9997,"Sint-Truidense VV",1.50,1.71,1.00,1.27
1,2009/2010,9993,"Beerschot AC",1.43,1.71,0.71,1.27
1,2009/2010,8635,"RSC Anderlecht",1.93,1.71,2.50,1.27
1,2009/2010,9987,"KRC Genk",1.14,1.71,1.21,1.27
1,2009/2010,10000,"SV Zulte-Waregem",1.64,1.71,1.14,1.27
1,2009/2010,10001,"KVC Westerlo",1.36,1.71,0.64,1.27
1,2009/2010,9991,"KAA Gent",1.86,1.71,1.64,1.27
1,2010/2011,9997,"Sint-Truidense VV",0.80,1.71,0.53,0.88
1,2010/2011,8571,"KV Kortrijk",1.67,1.71,0.73,0.88
1,2010/2011,8203,"KV Mechelen",1.47,1.71,0.80,0.88
1,2010/2011,10001,"KVC Westerlo",1.40,1.71,1.33,0.88
1,2010/2011,8635,"RSC Anderlecht",2.60,1.71,1.27,0.88
1,2010/2011,9985,"Standard de Liège",2.20,1.71,1.13,0.88
1,2010/2011,9984,"KSV Cercle Brugge",1.33,1.71,0.87,0.88
1,2010/2011,9987,"KRC Genk",2.47,1.71,1.80,0.88
1,2010/2011,8342,"Club Brugge KV",2.40,1.71,1.60,0.88
1,2010/2011,10000,"SV Zulte-Waregem",1.53,1.71,1.07,0.88
1,2010/2011,9994,"Sporting Lokeren",1.67,1.71,1.20,0.88
1,2010/2011,9989,"Lierse SK",1.13,1.71,0.60,0.88
1,2010/2011,9991,"KAA Gent",2.20,1.71,1.73,0.88
1,2010/2011,9993,"Beerschot AC",0.93,1.71,0.67,0.88
1,2010/2011,9986,"Sporting Charleroi",0.67,1.71,0.67,0.88
1,2010/2011,6351,"KAS Eupen",1.00,1.71,0.87,0.88
1,2011/2012,1773,"Oud-Heverlee Leuven",1.67,1.71,0.87,0.75
1,2011/2012,9998,"RAEC Mons",2.13,1.71,1.20,0.75
1,2011/2012,9987,"KRC Genk",2.40,1.71,1.60,0.75
1,2011/2012,9991,"KAA Gent",2.40,1.71,1.80,0.75
1,2011/2012,9994,"Sporting Lokeren",1.40,1.71,1.80,0.75
1,2011/2012,8571,"KV Kortrijk",1.60,1.71,1.00,0.75
1,2011/2012,8203,"KV Mechelen",1.47,1.71,1.20,0.75
1,2011/2012,8342,"Club Brugge KV",2.00,1.71,1.40,0.75
1,2011/2012,8635,"RSC Anderlecht",2.93,1.71,1.13,0.75
1,2011/2012,9997,"Sint-Truidense VV",1.33,1.71,0.80,0.75
1,2011/2012,10000,"SV Zulte-Waregem",1.53,1.71,0.60,0.75
1,2011/2012,9985,"Standard de Liège",1.87,1.71,1.00,0.75
1,2011/2012,9993,"Beerschot AC",1.73,1.71,1.27,0.75
1,2011/2012,9989,"Lierse SK",1.07,1.71,0.53,0.75
1,2011/2012,10001,"KVC Westerlo",1.27,1.71,0.67,0.75
