team_api_id,league_id,name,team_long_name,Build Up Play Speed,Build Up Play Dribbling,Build Up Play Passing,Chance Creation Passing,Chance Creation Crossing,Chance Creation Shooting,Defence Pressure,Defence Aggression,Defence Team Width
9987,1,Belgium Jupiler League,KRC Genk,56.33,17.33,44.33,55.67,52.33,55.83,49.17,50.67,59.83
9993,1,Belgium Jupiler League,Beerschot AC,46,0,41.5,46,53.5,53.75,48.25,49,58.75
10000,1,Belgium Jupiler League,SV Zulte-Waregem,55.5,14,52.67,50,49.33,41.5,48.67,56.17,47.83
9994,1,Belgium Jupiler League,Sporting Lokeren,64,15,53.5,44,47.67,54.33,48.83,55.17,55.5
9984,1,Belgium Jupiler League,KSV Cercle Brugge,53.67,16.33,44.17,59,60.33,48,60.17,49.67,64.67
8635,1,Belgium Jupiler League,RSC Anderlecht,51.33,15.33,45.17,63.5,55,51.33,59.67,47.67,63.83
9991,1,Belgium Jupiler League,KAA Gent,54.17,18.33,46.33,44.5,64.67,44.17,51.33,50,45.67
9998,1,Belgium Jupiler League,RAEC Mons,51.67,16.67,51.67,55,60.67,46,46,45,47
9985,1,Belgium Jupiler League,Standard de Liège,59.67,15,60.33,54.67,58.83,61.33,51.5,57.5,56.5
8203,1,Belgium Jupiler League,KV Mechelen,56.67,14,47.33,47.5,49.83,50.33,47.67,58.83,52
8342,1,Belgium Jupiler League,Club Brugge KV,49.17,17.33,46.5,48.83,55.83,47.67,53.67,53.83,54.67
9999,1,Belgium Jupiler League,KSV Roeselare,65,0,60,50,35,40,65,70,70
8571,1,Belgium Jupiler League,KV Kortrijk,40.83,13.33,51,39.33,64.5,40.33,46.33,49.5,53.33
9996,1,Belgium Jupiler League,Royal Excel Mouscron,50,50,50,50,50,50,45,45,50
10001,1,Belgium Jupiler League,KVC Westerlo,45.75,11.5,53,55.5,52,43,53.5,54.75,60.75
9986,1,Belgium Jupiler League,Sporting Charleroi,53.4,18.8,49,44.6,45.2,51.4,48.4,54.4,53
9997,1,Belgium Jupiler League,Sint-Truidense VV,51.67,0,52.67,50,52.33,50,42.67,45.33,45.67
9989,1,Belgium Jupiler League,Lierse SK,64.8,17.6,59.4,55.8,50.6,58.8,41,48.8,61
6351,1,Belgium Jupiler League,KAS Eupen,50,0,55,50,55,55,50,50,55
1773,1,Belgium Jupiler League,Oud-Heverlee Leuven,52,17,50,50,53,54,43,44,50
8475,1,Belgium Jupiler League,Waasland-Beveren,46,30,47,41.33,34,48.67,27.33,39.33,35
8573,1,Belgium Jupiler League,KV Oostende,52,49,54,45,42,53,42,47,44
274581,1,Belgium Jupiler League,Royal Excel Mouscron,50,50,50,50,50,50,45,45,50
10260,1729,England Premier League,Manchester United,51.83,12.67,45.83,50,63.17,53.83,45,48,54.83
10261,1729,England Premier League,Newcastle United,58.17,13,55.33,53.5,57.33,49.83,46.67,48.33,48.33
9825,1729,England Premier League,Arsenal,52.33,17,31.17,34.67,46.33,46.5,50.5,46.5,50.5
8659,1729,England Premier League,West Bromwich Albion,57.5,11,51.5,53,56,54.67,43,45.67,54.83
8472,1729,England Premier League,Sunderland,57,12.67,60.83,56.67,55.33,59,43.67,52.17,51.83
8650,1729,England Premier League,Liverpool,57.67,18,44.33,41.33,47.83,57.33,51,52.5,56
8654,1729,England Premier League,West Ham United,62.83,12.67,55.33,50.33,65.5,40.5,32.5,42.83,40.17
8528,1729,England Premier League,Wigan Athletic,47.17,12.17,50.67,52.67,55.5,45.5,50,54,46
10252,1729,England Premier League,Aston Villa,65.67,11.5,58.67,54.83,56,47.33,36.83,48.67,51.17
8456,1729,England Premier League,Manchester City,56.5,11.67,44.5,45.67,50.33,52.83,48.67,52.5,51.83
8668,1729,England Premier League,Everton,56.33,13.17,52.5,48.17,58,49.83,48.33,57.5,56.33
8655,1729,England Premier League,Blackburn Rovers,52.5,15.17,63.83,57,56,42,45.67,55,46.67
8549,1729,England Premier League,Middlesbrough,62.67,10,55.83,51,59.5,56,39.33,47,42.83
8586,1729,England Premier League,Tottenham Hotspur,50.67,13.5,46,49.83,59.33,62.33,51.17,50,55
8559,1729,England Premier League,Bolton Wanderers,54.67,11.83,63.83,59.33,55.83,49.5,40,52.83,52.83
10194,1729,England Premier League,Stoke City,60.17,10.83,67,50.17,64.83,44.83,37.33,51.17,43.83
8667,1729,England Premier League,Hull City,58.33,12.5,52.33,53,60.5,50.67,44,44.83,53.5
9879,1729,England Premier League,Fulham,52.33,11.33,53.83,49.83,56.33,52.67,36.67,34.17,47.83
8455,1729,England Premier League,Chelsea,61.67,15.5,45,49.83,55.17,61.67,40.83,50.33,44.83
8462,1729,England Premier League,Portsmouth,59.33,10.67,58.83,49.33,53.17,54,42,49.33,44
8658,1729,England Premier League,Birmingham City,55.67,11.83,66,57.5,64.33,54.5,44.67,52.83,55.17
8602,1729,England Premier League,Wolverhampton Wanderers,58,10.67,61,54,63.67,55.17,49.83,53.17,54
8191,1729,England Premier League,Burnley,51.67,10.67,59.5,62.5,61.83,54.33,51,57.5,61.33
8483,1729,England Premier League,Blackpool,59.83,13.33,56.67,64,51.17,61.33,48.5,50,55.17
10003,1729,England Premier League,Swansea City,51,13,40.5,48,48.17,54.33,49.33,56.33,57.83
10172,1729,England Premier League,Queens Park Rangers,53,12.5,57.5,54.17,52,56.33,50.83,49.83,51
9850,1729,England Premier League,Norwich City,56.17,11,62,52.83,66.33,53.33,42,49.83,52.5
8466,1729,England Premier League,Southampton,52.5,12,44.67,51.33,56.83,51.83,55,59.5,49
9798,1729,England Premier League,Reading,50.83,10.33,58.67,60.17,60.5,49.5,52.67,47.5,56.33
9826,1729,England Premier League,Crystal Palace,56.67,13.5,58.67,68.5,63.5,52.17,44.17,38.5,48
8344,1729,England Premier League,Cardiff City,62,11.67,62.17,58.17,57.33,53.5,46,47.5,52.17
8197,1729,England Premier League,Leicester City,53.67,12.83,54.33,49.33,60,54,55.5,55.83,55.83
8678,1729,England Premier League,Bournemouth,50,13.33,52.5,56.83,49.83,49.83,48.17,52.67,61
9817,1729,England Premier League,Watford,64.83,12.5,57,55.83,53.5,54.33,46,53.83,51.83
8583,4769,France Ligue 1,AJ Auxerre,53.5,18.33,55.17,45.67,63.67,47.5,33.5,46.67,41.33
9830,4769,France Ligue 1,FC Nantes,53.83,20.5,48.5,50.5,50.5,43.83,42.5,47.67,48.33
9827,4769,France Ligue 1,Girondins de Bordeaux,51.17,14.83,38,52.67,60.17,55.33,48.67,48.67,55.17
7819,4769,France Ligue 1,SM Caen,58.33,16.67,43.17,46.17,57.67,52.83,50.83,47.33,56.5
9746,4769,France Ligue 1,Le Havre AC,48.17,18.67,50.5,50.17,52.67,56.33,43.83,55.83,52.83
9831,4769,France Ligue 1,OGC Nice,52,19.33,61.83,51,54.83,45,51.67,50.5,59.67
8682,4769,France Ligue 1,Le Mans FC,62.75,0,47.25,57,65.25,57.5,56,50.75,51.75
8689,4769,France Ligue 1,FC Lorient,52.83,16.33,46.83,50.33,52,54.67,50.83,48.67,55.67
9748,4769,France Ligue 1,Olympique Lyonnais,53.5,20,49.67,52.67,51.83,69.67,49.83,48.83,53.83
9941,4769,France Ligue 1,Toulouse FC,49.33,18.67,55.33,50.5,42.67,44.17,34.83,47.83,46
9829,4769,France Ligue 1,AS Monaco,51.33,18.33,48.67,49.17,42.83,38.17,44.33,47.33,54
9847,4769,France Ligue 1,Paris Saint-Germain,46.83,19.5,45.17,53.83,54.33,54.67,54.5,53.83,58.5
8481,4769,France Ligue 1,AS Nancy-Lorraine,49.33,16,45.17,50.5,57.83,55.5,46.17,51.5,53.33
8639,4769,France Ligue 1,LOSC Lille,48.83,16.83,45.83,60.33,55.5,52.67,55.5,51.17,47
9851,4769,France Ligue 1,Stade Rennais FC,61.83,20.67,40.67,55.17,55.5,63.5,51.5,48.5,56.5
8592,4769,France Ligue 1,Olympique de Marseille,53,23.17,45.17,55.17,66,60.17,50.67,52.83,59.17
9874,4769,France Ligue 1,FC Sochaux-Montbéliard,61.33,20.67,46,53.67,61.5,46.83,54.33,42.83,54.33
9855,4769,France Ligue 1,Grenoble Foot 38,60,0,60,57.5,55,60,57.5,50,60
